id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction
FKID000008,planned,12.97883573,77.59953728,,,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",,public_event,False,2024-02-12 02:05:46+00,2024-02-12 14:05:46+00,closed,yes,2024-02-12 14:05:46.017066+00,,,"Cricket Match at M Chinnaswamy Satdium, [LOCATION].",,,CBD 2,High,,,,2024-01-30 05:09:41.077868+00,[],1,FKUSR00009,FKUSR00009,,,,Cubbon Park,,,,,,,,,,,,QueensStatueCircle
FKID000040,planned,12.946469,77.6986754,0.0,0.0,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",,construction,False,2024-01-30 11:31:12.848+00,2024-01-30 11:31:46+00,closed,no,2024-01-30 11:35:47.865142+00,,,[LOCATION] works going on sir,,,ORR East 1,High,,,,2024-01-30 11:32:15.765069+00,,1,FKUSR00031,FKUSR00031,,,,HAL Old Airport,,FKKG000025,,,,,,,,,,
FKID000045,planned,13.0085677,77.6131497,13.0085507,77.6131283,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)","Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",construction,True,2024-01-30 21:21:10.303+00,2024-01-30 21:20:46+00,closed,yes,2024-01-30 21:35:48.130423+00,,,,,,Non-corridor,Low,,,,2024-01-30 21:21:41.722681+00,,1,FKUSR00036,FKUSR00001,,,,K.G. Halli,,FKKG000030,,,,,,,,,,
FKID000052,planned,12.9694079,77.7006346,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",,construction,False,2024-01-30 20:56:01.732+00,2024-01-31 09:05:46+00,closed,yes,2024-01-31 09:35:47.797656+00,,,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,,,ORR East 2,High,,,,2024-01-30 20:56:43.100304+00,,1,FKUSR00043,FKUSR00001,,,,HAL Old Airport,,FKKG000037,,,,,,,,,,
FKID000082,planned,12.969418,77.7006526,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",,construction,False,2024-03-07 21:23:16.629+00,2024-03-08 10:05:46+00,closed,yes,2024-03-08 10:35:48.497372+00,,,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,,,ORR East 2,High,,,,2024-03-07 21:25:40.927133+00,,1,FKUSR00043,FKUSR00001,,,,HAL Old Airport,,FKKG000037,,,,,,,,,,
FKID000113,unplanned,13.0331905,77.5901915,0.0,0.0,"Anand Nagar Main Road, AGS Layout, Anand Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",,construction,False,2024-03-07 22:40:56.72+00,,closed,no,2024-03-08 07:46:19.124746+00,,,keb cable work @anand [PERSON],,,Bellary Road 1,High,,,,2024-03-07 22:41:58.865738+00,,1,FKUSR00089,FKUSR00001,,,,Hebbala,,FKKG000083,,,,FKUSR00089,2024-03-08 07:46:19.124181+00,,,,,
FKID000125,unplanned,13.0501731,77.4947759,0.0,0.0,"Mumbai Bengaluru Highway, Pride Altius, Bagalagunte, Bengaluru, Karnataka. Pin-560073 (India)",,construction,False,2024-01-31 11:11:49.384+00,,active,yes,2024-01-31 11:19:32.653574+00,,,"Manjunathanagara to widea upperramp nhai road work progress ,vehicle oneside movement ,towards city",,,Non-corridor,Low,,,,2024-01-31 11:13:48.212253+00,,1,FKUSR00099,FKUSR00001,,,,Chikkabanavara,,FKKG000093,,,,,,,,,,
FKID000139,planned,12.9693576,77.7006406,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",,construction,False,2024-01-31 21:05:04.75+00,2024-02-01 09:05:46+00,closed,yes,2024-02-01 09:35:47.970684+00,,,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,,,ORR East 2,High,,,,2024-01-31 21:06:03.165568+00,,1,FKUSR00043,FKUSR00001,,,,HAL Old Airport,,FKKG000037,,,,,,,,,,
FKID000158,planned,12.9762232,77.6016656,0.0,0.0,"St Marks Road, Anil Kumble Chowk, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,construction,False,2024-01-31 22:25:30.936+00,2024-01-31 18:26:46+00,closed,no,2024-01-31 22:48:09.127136+00,,,Off road bmtc bus,,,Old Madras Road,High,,,,2024-01-31 22:26:55.849218+00,,1,FKUSR00124,FKUSR00001,,,,Cubbon Park,,FKKG000118,,,,,,,,,,
FKID000166,planned,13.1511992,77.620242,0.0,0.0,"Bengaluru Bellary Road, Hunsemarrenhalli Junction, Hunasamaranahalli, Bengaluru, Karnataka. Pin-562157 (India)",,construction,False,2024-02-01 00:08:01.156+00,2024-02-01 06:07:46+00,closed,yes,2024-02-01 00:39:55.772208+00,,,"ನಮಸ್ತೆ ಸರ್, ಟೊಯೋಟಾ ಶೋರೂಮ್ ಹತ್ತಿರ ಟುವರ್ಡ್ಸ್ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆ ರೋಡ್  ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರಿಂದ ಟ್ರಾಫಿಕ್ ಮೂಮೆಂಟ್ಸ್ ಸ್ಲೋ  ಆಗಿರುತ್ತದೆ",,,Bellary Road 2,High,,,,2024-02-01 00:13:06.270526+00,,1,FKUSR00132,FKUSR00001,,,,Chikkajala,,FKKG000126,,,,FKUSR00132,2024-02-01 00:39:55.771653+00,,,,,
FKID000192,planned,13.07835,77.502205,0.0,0.0,"Hesaraghatta Main Road, Sri M Vishveshwaraiah Layout, Chikkabanavara, Bengaluru, Karnataka. Pin-560090 (India)",,construction,False,2024-03-08 04:32:41.143+00,2024-03-08 04:32:46+00,closed,no,2024-03-08 04:35:48.746733+00,,,k ride work,,,Non-corridor,Low,,,,2024-03-08 04:33:41.652497+00,,1,FKUSR00148,FKUSR00148,,,,Chikkabanavara,,FKKG000142,,,,,,,,,,
FKID000199,unplanned,13.16120295,77.62691818,0.0,0.0,"Vidya Nagar Cross Road, Vidyanagar Junction, Chikkajala, Bengaluru, Karnataka. Pin-562157 (India)",,construction,False,2024-02-01 04:22:39.844+00,,closed,yes,2024-02-01 05:23:27.74769+00,,,Road work,,,Bellary Road 2,High,,,,2024-02-01 04:23:52.841044+00,,1,FKUSR00153,FKUSR00001,,,,Chikkajala,,FKKG000147,,,,FKUSR00153,2024-02-01 05:23:27.747063+00,,,,,
FKID000216,unplanned,13.0450698,77.6440587,0.0,0.0,"Hennur Main Road, KBM Shariff Layout, Geddalahalli, Bengaluru, Karnataka. Pin-560077 (India)",,construction,False,2024-03-08 05:53:36.201+00,,closed,yes,2024-03-14 22:49:07.437185+00,,,"ನಮಸ್ತೆ ಸರ್, ಹೆಣ್ಣೂರ್ ಬಾಗ್ಲೂರ್ ಮುಖ್ಯ ರಸ್ತೆ ಗೆದ್ದಲಹಳ್ಳಿ ಸಿಮೆಂಟ್ ರಸ್ತೆ ಮಾಡುತ್ತಿರುವುದರಿಂದ ವಡ್ದರ್ಪಾಳ್ಯ ಕಡೆಯಿಂದ ಗೆದ್ದಲಹಳ್ಳಿ ಹೋಗುವ ಕಡೆಗೆ ನಿಧಾನಗತಿಯಲ್ಲಿರುತ್ತದೆ ಸಂಚಾರ ನಮಸ್ತೆ ಸರ್",,,Non-corridor,Low,,,,2024-03-08 05:54:41.492983+00,,1,FKUSR00167,FKUSR00001,,,,Hennuru,,FKKG000161,,,,FKUSR00167,2024-03-14 22:49:07.436346+00,,,,,
FKID000220,unplanned,13.0522674,77.4879449,0.0,0.0,"Mumbai Bengaluru Highway, Prestige Jindal City, Chikkabidarakallu, Bengaluru, Karnataka. Pin-560073 (India)",,construction,False,2024-02-01 06:49:09.546+00,,active,yes,2024-02-01 06:50:55.666203+00,,,Road maintenance vehicle parking sir,,,Non-corridor,Low,,,,2024-02-01 06:49:58.282489+00,,1,FKUSR00171,FKUSR00001,,,,No Police Station,,FKKG000164,,,,,,,,,,
FKID000229,planned,12.965034,77.5747048,12.9650142,77.5750166,"Mysore Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)","Sethu Rao Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",construction,True,2024-02-01 11:31:41.249+00,2024-02-01 11:31:46+00,closed,yes,2024-02-01 11:41:28.388429+00,,,ರಸ್ತೆ ಕಾಮಗಾರಿ ಸಲುವಾಗಿ ಮಾರ್ಕೆಟ್ ಸರ್ಕಲ ಕಡೆ ಹೋಗುವ flyover ಮುಚ್ಚಲಾಗಿರುತ್ತದೆ,,,Mysore Road,High,,,,2024-02-01 11:34:20.342635+00,,1,FKUSR00178,FKUSR00001,,,,City Market,,FKKG000171,,,,,,,,,,
FKID000235,planned,12.9694199,77.7006686,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",,construction,False,2024-02-01 20:39:02.295+00,2024-02-02 09:05:46+00,closed,yes,2024-02-02 09:35:47.59436+00,,,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,,,ORR East 2,High,,,,2024-02-01 20:39:55.043318+00,,1,FKUSR00043,FKUSR00001,,,,HAL Old Airport,,FKKG000037,,,,,,,,,,
FKID000241,planned,12.9643399,77.5855341,0.0,0.0,"Sri Narsimha Rao Road, Town Hall Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",,vip_movement,False,2024-02-01 20:44:47.196+00,2024-02-01 21:05:46+00,closed,yes,2024-02-01 21:35:47.869117+00,,,LGV ವಾಹನದ ಗಲಿ ಪಂಚರಾಗಿದ್ದು ಅದನ್ನು ಸೂಲ್ಪ ಸಮಯದಲ್ಲಿ ಬದಲಾವಣೆ ಮಾಡಿಕೊಂಡು ಹೋಗುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸರ್,,,Mysore Road,High,,,,2024-02-01 20:50:21.58871+00,,1,FKUSR00186,FKUSR00001,,,,Halasuru Gate,,FKKG000179,,,,,,,,,,
FKID000253,planned,12.860655,77.4311029,12.8606339,77.4310874,"Bangalore Mysore Expressway, Kempegowda Layout, Kaniminike, Bengaluru, Karnataka. Pin-560074 (India)","Bangalore Mysore Expressway, Kempegowda Layout, Kaniminike, Bengaluru, Karnataka. Pin-560074 (India)",construction,True,2024-02-01 22:12:24.799+00,2024-02-01 22:12:46+00,closed,yes,2024-02-01 22:35:48.10454+00,,,Towards Mysore,,,Non-corridor,Low,,,,2024-02-01 22:13:42.539618+00,,1,FKUSR00195,FKUSR00001,,,,Kengeri,,FKKG000187,,,,,,,,,,
FKID000286,unplanned,12.92001766,77.66562279,0.0,0.0,"Sarjapura Main Road, Iblur Junction, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",,construction,False,2024-01-19 20:15:08.908+00,,closed,yes,2024-02-02 08:02:38.17908+00,,,ಬಿಬಿಎಂಪಿಯವರು ಕಾಮಗಾರಿಯನ್ನು ಮಾಡಿರುವುದರಿಂದ ಸಂಚಾರಕೆ [LOCATION] ಸರ್,,,ORR East 1,High,,,,2024-01-19 20:18:08.560218+00,,1,FKUSR00222,FKUSR00001,,,,Bellandur,,FKKG000214,,,,FKUSR00222,2024-02-02 08:02:38.178559+00,,,,,IbblurJunction'
FKID000288,unplanned,13.07838,77.427995,13.0783383,77.42815,"NH 48, Defence Layout, Maruthi Nagar, Arasinakunte, Karnataka. Pin-562123 (India)","NH 48, Defence Layout, Maruthi Nagar, Arasinakunte, Karnataka. Pin-562123 (India)",construction,True,2024-03-08 13:11:59.981+00,,closed,yes,2024-03-08 13:34:09.083296+00,,,"ಸರ್ ನಮಸ್ತೆ ಸರ್, ನ್ಯಾಷನಲ್ ರೋಡ್ ಕ್ಲೋಸ್ ಮಾಡಿ ನಂಬರ್ ವರ್ಕ್ ಕೆಲಸ ಮಾಡುತ್ತಿರುತ್ತಾರೆ ಆದದರಿಂದ ಸಂಚಾರ ತುಂಬಾ ದಟ್ಟಣೆಯಾಗಿರುತ್ತದೆ ಸರ್",,,Non-corridor,Low,,,,2024-03-08 13:14:41.029712+00,,1,FKUSR00220,FKUSR00001,,,,No Police Station,,FKKG000212,,,,,,,,,,
FKID000312,planned,12.9694578,77.7006343,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",,construction,False,2024-02-02 21:40:29.067+00,2024-02-03 09:05:46+00,closed,yes,2024-02-03 09:35:48.031249+00,,,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,,,ORR East 2,High,,,,2024-02-02 21:41:34.377237+00,,1,FKUSR00043,FKUSR00001,,,,HAL Old Airport,,FKKG000037,,,,,,,,,,
FKID000337,unplanned,12.9692805,77.7006521,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",,construction,False,2024-03-08 20:25:49.408+00,,closed,yes,2024-03-14 23:06:55.864838+00,,,[PERSON] working in progress traffic normal,,,ORR East 2,High,,,,2024-03-08 20:27:17.332299+00,,1,FKUSR00254,FKUSR00001,,,,HAL Old Airport,,FKKG000246,,,,FKUSR00254,2024-03-14 23:06:55.864253+00,,,,,
FKID000355,planned,12.9712598,77.597572,12.9711078,77.5976822,"Grant Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)","Sri ML Subbaraju Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",construction,True,2024-03-08 22:18:14.937+00,2024-03-09 01:18:46+00,closed,yes,2024-03-09 01:35:49.092241+00,,,road closue,,,Non-corridor,Low,,,,2024-03-08 22:20:10.675412+00,,1,FKUSR00264,FKUSR00001,,,,Cubbon Park,,FKKG000256,,,,,,,,,,
FKID000361,unplanned,13.0081323,77.6928683,0.0,0.0,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",,procession,False,2024-03-08 21:20:19.376+00,,closed,yes,2024-03-08 23:35:48.619314+00,,,may day procession  and citu procession sir,,,Non-corridor,Low,,,,2024-03-08 21:23:41.443393+00,,1,FKUSR00268,FKUSR00001,,,,K.R. Pura,,FKKG000260,,,,,,,,,,
FKID000375,planned,13.049104,77.5932567,0.0,0.0,"Kempapura Main Road, Esteem Mall, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",,construction,False,2024-02-03 21:28:38.926+00,2024-02-03 12:20:46+00,closed,yes,2024-02-03 21:35:47.805006+00,,,Work in progress by NHAI sir,,,Bellary Road 1,High,,,,2024-02-03 21:29:36.794465+00,,1,FKUSR00279,FKUSR00009,,,,Hebbala,,FKKG000271,,,,,,,,,,
FKID000378,unplanned,13.0483496,77.6454296,13.0483447,77.6454844,"Hennur Main Road, Geddalahalli, Bengaluru, Karnataka. Pin-560077 (India)","Hennur Main Road, Geddalahalli, Bengaluru, Karnataka. Pin-560077 (India)",protest,True,2024-03-09 00:22:27.88+00,,closed,yes,2024-03-09 06:35:48.285645+00,,,ಸೌಂಡು ಮಗು ಡೆತ್ ಆಗಿರೋದ್ರಿಂದ ಪಬ್ಲಿಕ್ ರೋಡ್ ಬ್ಲಾಕ್ [PERSON] ಮಾಡ್ತಾ ಇದ್ದಾರೆ ಸರ್,,,Non-corridor,Low,,,,2024-03-09 00:23:47.054606+00,,1,FKUSR00280,FKUSR00001,,,,Hennuru,,FKKG000272,,,,,,,,,,
FKID000412,planned,13.0418551,77.6138337,13.0417228,77.614047,"MBT Road, Govind Pura, Nagavara, Bengaluru, Karnataka. Pin-560045 (India)","MBT Road, Govind Pura, Nagavara, Bengaluru, Karnataka. Pin-560045 (India)",construction,True,2024-03-09 00:32:11.731+00,2024-03-09 02:25:46+00,closed,yes,2024-03-09 02:35:48.168942+00,,,BWSSB & Cable work is going near [LOCATION] service road towards [LOCATION]. service road is closed towards [LOCATION] from [LOCATION],,,ORR North 1,High,,,,2024-03-09 00:35:39.919863+00,,1,FKUSR00304,FKUSR00001,,,,Hennuru,,FKKG000296,,,,,,,,,,
FKID000426,planned,13.0469097,77.6445369,0.0,0.0,"Hennur Main Road, Mantri Splendor, Hiremath Layout, Geddalahalli, Bengaluru, Karnataka. Pin-560077 (India)",,construction,False,2024-03-09 06:38:13.42+00,2024-03-12 06:38:46+00,closed,yes,2024-03-12 07:35:48.090604+00,,,white tapping work at Geddalahalli towards bagalur and airport back sir,,,Non-corridor,Low,,,,2024-03-09 06:39:44.838301+00,,1,FKUSR00318,FKUSR00001,,,,Hennuru,,FKKG000310,,,,,,,,,,
FKID000433,planned,12.90731581,77.6955824,12.91102168,77.6979754,"Gear School road, ದೊಡ್ಡಕನ್ನಲ್ಲಿ, ಗುಂಜೂರು, ಬೆಂಗಳೂರು ಪೂರ್ವ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಪೂರ್ವ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560035, India","ದೊಡ್ಡಕನ್ನಲ್ಲಿ, ಗುಂಜೂರು, ಬೆಂಗಳೂರು ಪೂರ್ವ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಪೂರ್ವ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560035, India",public_event,True,2024-02-03 22:05:46+00,2024-02-04 09:05:46+00,closed,yes,2024-02-04 09:35:47.844681+00,,,[PERSON] and Palakki Uthsava at Dodakkanahalli,,,Non-corridor,Low,,,,2024-02-04 06:26:36.869329+00,"[[12.907315805159739,77.69558240100301],[12.90729035161469,77.69557693813155],[12.907870435123657,77.69572181194098],[12.908680459393157,77.69573254333427],[12.90887904558766,77.69617789615587],[12.908779752510108,77.6959847310766],[12.90924486184878,77.6965803234043],[12.909553192281704,77.69685933962991],[12.909715196255062,77.69698275065275],[12.910091463142935,77.69722957269849],[12.910399792531582,77.69746566335091],[12.910749928833804,77.6977124853966],[12.910938061569743,77.69785735920603],[12.911021676073577,77.69797540453224]]",1,FKUSR00009,FKUSR00009,,,,Bellandur,,,,,,,,,,,,
FKID000437,planned,12.90730454,77.69558165,12.91099868,77.69800685,"Gear School road, Doddakannalli, Gunjur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560035, India","Doddakannalli, Gunjur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560035, India",public_event,True,2024-02-03 22:05:46+00,2024-02-04 09:05:46.921+00,closed,yes,2024-02-04 09:35:47.830819+00,,,"Sri.Tirumalaswmay
Brahma Rathotsava &
Night [PERSON]",,,Non-corridor,Low,,,,2024-02-04 06:23:32.847874+00,"[[12.907304539123215,77.69558164508427],[12.91094175243539,77.6979740248954],[12.910711561004286,77.69779160644323],[12.910554612179693,77.69766284047702],[12.910277335682077,77.69742140429034],[12.910026217079205,77.6972765425783],[12.909748939995476,77.697056567386],[12.9094768942559,77.69687951418243],[12.90925193313224,77.6966488084929],[12.909058361770768,77.69645029429499],[12.908838631935565,77.69621958860549],[12.908650291923106,77.69577427297223],[12.90818990462863,77.69576890772368],[12.907917857192482,77.69573671623208],[12.907651041150217,77.69573671623208],[12.907274359194068,77.695645507006],[12.90729005428691,77.69548991479682],[12.907635346080045,77.69558648927148],[12.908064344310262,77.69566696800041],[12.90839917168576,77.69568842899476],[12.908718303610641,77.69571525523773],[12.90889618024441,77.69612837937939],[12.90924670147582,77.69647175528934],[12.90953444241783,77.6967453829676],[12.909942510822194,77.697056567386],[12.910324420392037,77.69733019506424],[12.91063308660431,77.69751261351638],[12.910837119992978,77.6977486844545],[12.911062079690032,77.69787745042075],[12.910957447297985,77.69798475539257],[12.910998682915789,77.69800685206606]]",1,FKUSR00009,FKUSR00009,,,,Bellandur,,,,,,,,,,,,
FKID000439,planned,12.97878153,77.59976254,,,"ಕ್ವಿನ್ಸ್ ರಸ್ತೆ, ಶಾಂತಲಾ ನಗರ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",,public_event,False,2024-02-03 14:05:46+00,2024-02-04 14:05:46+00,closed,yes,2024-02-04 14:05:46.018833+00,,,IPL opening Ceremony 2026- RCB vs SRH at [LOCATION].,,,CBD 2,High,,,,2024-01-30 05:01:05.959444+00,[],1,FKUSR00009,FKUSR00001,,,,Cubbon Park,,,,,,,,,,,,QueensStatueCircle
FKID000468,planned,12.9299316,77.6761985,12.9299672,77.6762424,"Ambalipura Main Road, Sonestaa Woods, Bellandur Village, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)","Ambalipura Main Road, Sonestaa Woods, Bellandur Village, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",procession,True,2024-02-05 00:25:25.833+00,2024-02-05 06:05:46+00,closed,yes,2024-02-05 02:35:48.073849+00,,,Call me [PHONE] [LOCATION] village car festival,,,Non-corridor,Low,,,,2024-02-05 00:28:34.790563+00,,1,FKUSR00075,FKUSR00001,,,,Bellandur,,FKKG000069,,,,,,,,,,
